"","time","time_month","time_week","car","renter","score_numeric","score","source"
"1","2020-02-07",2,6,1,43656,5,"STRONG_POSITIVE","IOS"
"2","2020-02-17",2,7,1,13696,3,"NEUTRAL","IOS"
"3","2020-01-03",1,1,1,13202,5,"STRONG_POSITIVE","IOS"
"4","2020-01-29",1,5,1,13202,5,"STRONG_POSITIVE","IOS"
"5","2020-01-07",1,1,1,10011,5,"STRONG_POSITIVE","IOS"
"6","2020-01-25",1,4,1,24685,5,"STRONG_POSITIVE","ANDROID"
"7","2020-02-15",2,7,1,11024,5,"STRONG_POSITIVE","ANDROID"
"8","2020-03-11",3,11,1,37291,5,"STRONG_POSITIVE","IOS"
"9","2020-03-10",3,10,1,46088,5,"STRONG_POSITIVE","IOS"
"10","2020-02-18",2,7,1,5101,5,"STRONG_POSITIVE","IOS"
"11","2020-01-09",1,2,1,13202,5,"STRONG_POSITIVE","IOS"
"12","2020-02-23",2,8,2,36876,4,"WEAK_POSITIVE","IOS"
"13","2020-02-03",2,5,2,22060,4,"WEAK_POSITIVE","ANDROID"
"14","2020-02-16",2,7,2,36132,4,"WEAK_POSITIVE","ANDROID"
"15","2020-03-06",3,10,2,235,5,"STRONG_POSITIVE","WEB"
"16","2020-03-11",3,11,2,37715,4,"WEAK_POSITIVE","IOS"
"17","2020-03-01",3,9,2,3356,3,"NEUTRAL","ANDROID"
"18","2020-02-17",2,7,2,123,4,"WEAK_POSITIVE","IOS"
"19","2020-03-02",3,9,2,29069,5,"STRONG_POSITIVE","ANDROID"
"20","2020-01-03",1,1,3,5743,5,"STRONG_POSITIVE","ANDROID"
"21","2020-01-08",1,2,3,47295,1,"STRONG_NEGATIVE","ANDROID"
"22","2020-01-04",1,1,3,38398,5,"STRONG_POSITIVE","IOS"
"23","2020-01-01",1,1,3,37086,3,"NEUTRAL","ANDROID"
"24","2020-03-09",3,10,4,7393,3,"NEUTRAL","IOS"
"25","2020-03-14",3,11,4,21101,1,"STRONG_NEGATIVE","IOS"
"26","2020-03-05",3,10,4,1844,4,"WEAK_POSITIVE","IOS"
"27","2020-03-08",3,10,4,1844,4,"WEAK_POSITIVE","IOS"
"28","2020-02-02",2,5,4,21101,1,"STRONG_NEGATIVE","IOS"
"29","2020-01-03",1,1,4,9168,4,"WEAK_POSITIVE","IOS"
"30","2020-01-24",1,4,4,48902,2,"WEAK_NEGATIVE","IOS"
"31","2020-04-26",4,17,4,4781,5,"STRONG_POSITIVE","IOS"
"32","2020-02-24",2,8,4,4537,5,"STRONG_POSITIVE","IOS"
"33","2020-05-31",5,22,4,26118,5,"STRONG_POSITIVE","ANDROID"
"34","2020-02-17",2,7,4,33121,2,"WEAK_NEGATIVE","IOS"
"35","2020-04-13",4,15,4,2485,4,"WEAK_POSITIVE","IOS"
"36","2020-04-19",4,16,4,1102,1,"STRONG_NEGATIVE","IOS"
"37","2020-02-03",2,5,4,11714,3,"NEUTRAL","IOS"
"38","2020-05-25",5,21,4,33332,4,"WEAK_POSITIVE","IOS"
"39","2020-04-25",4,17,4,33298,5,"STRONG_POSITIVE","IOS"
"40","2020-05-11",5,19,4,13419,4,"WEAK_POSITIVE","IOS"
"41","2020-02-18",2,7,4,1375,5,"STRONG_POSITIVE","IOS"
"42","2020-04-11",4,15,4,2485,4,"WEAK_POSITIVE","IOS"
"43","2020-05-27",5,22,4,5143,4,"WEAK_POSITIVE","IOS"
"44","2020-03-30",3,13,4,7934,5,"STRONG_POSITIVE","ANDROID"
"45","2020-04-12",4,15,4,2485,4,"WEAK_POSITIVE","IOS"
"46","2020-05-30",5,22,5,4544,5,"STRONG_POSITIVE","ANDROID"
"47","2020-02-14",2,7,5,4939,5,"STRONG_POSITIVE","IOS"
"48","2020-03-08",3,10,7,3185,5,"STRONG_POSITIVE","IOS"
"49","2020-03-06",3,10,8,37639,5,"STRONG_POSITIVE","IOS"
"50","2020-03-10",3,10,8,37639,5,"STRONG_POSITIVE","IOS"
"51","2020-02-20",2,8,8,1938,2,"WEAK_NEGATIVE","IOS"
"52","2020-02-07",2,6,8,6689,5,"STRONG_POSITIVE","IOS"
"53","2020-05-29",5,22,9,3739,5,"STRONG_POSITIVE","IOS"
"54","2020-03-03",3,9,9,516,4,"WEAK_POSITIVE","IOS"
"55","2020-01-18",1,3,9,3739,5,"STRONG_POSITIVE","IOS"
"56","2020-03-10",3,10,9,6084,3,"NEUTRAL","IOS"
"57","2020-01-09",1,2,9,516,5,"STRONG_POSITIVE","IOS"
"58","2020-03-09",3,10,9,41096,5,"STRONG_POSITIVE","ANDROID"
"59","2020-02-10",2,6,9,27834,5,"STRONG_POSITIVE","IOS"
"60","2020-02-20",2,8,9,10038,5,"STRONG_POSITIVE","ANDROID"
"61","2020-02-06",2,6,9,516,4,"WEAK_POSITIVE","IOS"
"62","2020-02-28",2,9,9,10038,5,"STRONG_POSITIVE","ANDROID"
"63","2020-01-17",1,3,9,5432,5,"STRONG_POSITIVE","IOS"
"64","2020-01-20",1,3,9,544,5,"STRONG_POSITIVE","ANDROID"
"65","2020-02-14",2,7,9,10038,5,"STRONG_POSITIVE","ANDROID"
"66","2020-02-19",2,8,9,10038,5,"STRONG_POSITIVE","ANDROID"
"67","2020-03-07",3,10,9,35561,5,"STRONG_POSITIVE","IOS"
"68","2020-01-24",1,4,9,2784,5,"STRONG_POSITIVE","IOS"
