"user","treatment","num_applications","num_hires","prior_spend","prior_openings"
1,"0",7,2,7.43625184785869,45
2,"0",12,0,6.19872258919197,30
3,"1",8,2,5.64640050641807,216
4,"1",23,0,0,10
5,"1",40,1,8.3185544301768,17
6,"1",15,0,0,1
7,"1",9,0,0,6
8,"1",9,0,8.15883683469497,156
9,"1",7,0,0,2
10,"0",1,1,6.34649564066472,4
11,"0",0,0,6.61066912645506,10
12,"1",68,0,5.30215997426549,54
13,"0",35,1,2.56494935746154,2
14,"1",39,1,10.5615952065864,76
15,"0",18,0,10.0349560688937,27
16,"0",10,0,0,2
17,"1",83,4,10.9005323082692,100
18,"1",77,1,5.25895264302576,6
19,"1",12,0,9.3522122607611,62
20,"0",1,0,0,1
21,"0",10,1,9.31275886412384,102
22,"0",52,0,7.49108759353488,14
23,"1",151,1,9.57491264972196,62
24,"1",32,0,0,2
25,"1",13,0,0,2
26,"1",25,0,7.44122654367199,3
27,"0",4,0,0,2
28,"1",13,0,6.3401652813793,19
29,"0",17,0,0,5
30,"1",0,0,6.03217453535577,33
31,"0",0,0,6.65810090062701,24
32,"0",1,0,0,1
33,"0",1,0,0,1
34,"0",24,0,3.43398720448515,2
35,"0",22,0,0,1
36,"1",47,1,6.08675199938131,15
37,"1",2,1,10.5044706491382,206
38,"1",13,2,7.25803884148751,11
39,"0",5,0,4.94513631186356,52
40,"1",2,0,0,1
41,"0",6,0,0,3
42,"1",5,0,0,1
43,"0",8,0,0,1
44,"1",84,0,0,7
45,"0",1,0,9.00425426181165,21
46,"1",21,0,1.79009141212736,8
47,"0",97,2,0,84
48,"0",47,0,0,7
49,"1",33,1,0,3
50,"0",2,2,0,3
51,"1",11,0,0,4
52,"0",11,1,0,6
53,"1",10,0,0,1
54,"0",16,0,7.19647681100858,29
55,"0",4,0,7.64406730743681,51
56,"1",54,1,0,3
57,"1",1,1,7.67515149317474,6
58,"0",8,1,10.503859412819,80
59,"0",8,0,5.94727752221831,13
60,"0",1,0,4.52710053056617,25
61,"1",5,0,5.01727983681492,4
62,"1",0,0,7.79371050706017,22
63,"1",118,2,6.8151903275878,117
64,"0",1,1,8.86832178273808,58
65,"1",1,1,9.92440083733366,13
66,"0",20,1,6.75512843752322,7
67,"0",16,1,0,4
68,"0",24,1,9.61965207245292,110
69,"1",18,1,12.3424240394607,342
70,"0",18,1,3.67198758644372,3
71,"1",0,0,10.3083438086649,41
72,"1",18,1,0,1
73,"1",6,0,5.06234183641845,7
74,"1",0,0,8.23841271526926,12
75,"1",27,2,5.5969022863621,4
76,"0",104,1,8.505940112355,10
77,"1",1,0,9.27515385530818,6
78,"1",0,0,5.66950154067933,7
79,"1",50,3,7.29195589178558,22
80,"0",20,0,7.98494983677618,9
81,"0",47,0,8.48174423623249,21
82,"1",501,0,9.62971233001873,37
83,"1",3,1,4.39444915467244,8
84,"1",54,0,0,3
85,"1",3,1,0,1
86,"0",1,1,6.22422173893816,17
87,"1",41,0,4.64487155283964,10
88,"1",10,1,11.5338083908866,10
89,"0",45,1,6.76106337982826,25
90,"1",6,1,5.38449506278909,7
91,"1",14,0,0,1
92,"1",14,0,5.42124271338534,57
93,"0",19,1,0,1
94,"0",49,1,0,1
95,"0",51,0,7.03184726021191,24
96,"0",49,0,0,2
97,"1",0,0,7.5355903058947,73
98,"0",24,1,4.29346860769209,3
99,"0",2,0,0,2
100,"0",11,0,6.05666691035362,22
101,"0",1,1,0,2
102,"1",1,0,5.47441123817059,4
103,"1",1,0,6.29443539828175,25
104,"0",57,0,6.26653619128255,14
105,"1",65,1,6.4430177594089,12
106,"1",57,1,5.87986237052668,12
107,"1",4,0,8.1565647283239,70
108,"0",7,1,0,3
109,"1",2,1,7.22597625574275,25
110,"0",23,0,6.3204085173084,2
111,"1",0,0,0,40
112,"1",1,1,4.33073334028633,3
113,"1",92,0,11.6556148573098,18
114,"1",5,0,0,4
115,"0",18,1,8.62715550255288,62
116,"1",27,1,6.35417871814851,16
117,"1",119,1,0,4
118,"0",0,0,0,1
119,"1",44,0,0,2
120,"1",8,0,0,1
121,"1",0,0,9.2524961965495,60
122,"0",7,0,0,1
123,"1",62,0,6.34679358572235,13
124,"0",0,0,3.56303274424796,24
125,"1",1,1,6.02487514495222,45
126,"0",0,0,0,1
127,"1",10,0,8.58827960325083,328
128,"0",1,1,6.71153356101543,11
129,"0",1,0,6.50377906192539,24
130,"0",20,1,3.04452243772342,6
131,"0",0,0,4.6951022934887,11
132,"0",10,0,3.28353933819392,5
133,"1",0,0,7.73211930065763,26
134,"0",0,0,6.66113837148229,18
135,"0",32,0,0,1
136,"0",78,1,11.0449838682733,8
137,"1",27,1,7.30926591178257,95
138,"1",24,1,0,3
139,"1",20,2,0,1
140,"0",8,1,3.7532617130432,6
141,"0",25,0,5.99645208861902,9
142,"1",20,0,7.17540554787887,147
143,"1",9,0,8.38177659433851,55
144,"0",83,1,8.92088606337455,95
145,"1",0,0,7.38213058849351,13
146,"1",3,0,5.46721590300985,34
147,"1",1,1,0,1
148,"1",54,1,5.6335745796127,15
149,"1",38,1,0,2
150,"0",7,0,0,1
151,"1",61,0,0,1
152,"0",1,1,5.97062388123613,33
153,"1",0,0,0,1
154,"1",32,1,7.4319215196852,24
155,"1",1,1,5.68109368640151,26
156,"1",8,0,0,1
157,"1",0,0,8.40880810635636,7
158,"1",12,1,6.50739710824212,53
159,"1",3,0,7.54871929565387,49
160,"0",24,0,5.55810138195724,4
161,"0",28,1,6.13878480980014,52
162,"1",1,0,9.57824621263213,49
163,"1",6,0,6.50769553553252,5
164,"0",16,2,1.5173226235263,3
165,"0",8,1,7.59756188603437,17
166,"0",2,0,9.10854682046444,85
167,"1",16,0,10.303687490598,179
168,"1",23,1,5.25530547595475,11
169,"0",8,0,0,3
170,"1",3,0,0,10
171,"0",7,0,4.7884079895664,38
172,"0",0,0,5.40815783222757,3
173,"0",162,0,7.19076645978402,12
174,"1",53,0,6.2911987005839,16
175,"1",22,1,0,2
176,"1",3,0,0,2
177,"0",0,0,8.07155275465437,57
178,"0",1,0,0,2
179,"0",1,1,8.2968108245213,43
180,"0",5,2,11.676454544095,78
181,"1",39,3,9.56297697277254,200
182,"0",1,0,7.85343004054445,21
183,"1",15,2,0,1
184,"1",7,0,0,4
185,"0",13,0,0,1
186,"0",8,3,0,1
187,"0",27,1,5.24396677179795,19
188,"0",24,0,10.5478976425182,56
189,"1",4,0,0,1
190,"1",5,1,4.38726290146913,14
191,"1",117,0,6.01764385889128,50
192,"1",24,1,5.80036457250245,25
193,"0",9,1,0,1
194,"1",0,0,8.08748354531728,19
195,"0",3,0,8.53446713408651,76
196,"0",21,0,8.93715668810745,20
197,"1",4,0,9.83407423553149,178
198,"0",81,1,7.16703787691222,21
199,"1",39,0,7.8138502098778,6
200,"0",18,1,9.74509831938614,30
201,"1",23,1,2.89037175789616,20
202,"1",15,0,6.82871207164168,8
203,"1",17,0,0,9
204,"0",0,0,10.1149972927391,82
205,"1",102,0,7.59376706304107,5
206,"1",13,0,6.91881390633887,13
207,"1",53,1,5.57006058769831,4
208,"1",11,1,7.09283968226502,9
209,"0",3,1,6.74209022916324,2
210,"0",0,0,9.41753094856407,91
211,"0",0,0,0,5
212,"1",18,1,0,1
213,"0",1,1,0,1
214,"1",107,0,5.23803643566311,7
215,"1",1,1,11.7415610275441,85
216,"1",30,0,0,1
217,"1",1,1,7.29709100516042,5
218,"0",49,1,0,1
219,"1",38,0,0,3
220,"0",0,0,0,1
221,"1",20,0,7.60882598533759,36
222,"0",2,1,7.91551609966727,33
223,"1",1,0,4.18965474202643,3
224,"1",0,0,9.02486464601657,28
225,"1",17,1,8.39826550089236,13
226,"1",6,0,8.19316520295258,16
227,"0",108,1,5.8639720265927,5
228,"0",14,0,8.20377749804622,26
229,"1",1,0,10.0140857276766,16
230,"0",11,1,0,1
231,"0",1,0,6.76358463253722,16
232,"0",44,1,4.82181265095994,2
233,"1",0,0,8.62318430820337,225
234,"0",2,0,6.15466699295523,103
235,"0",0,0,7.61252960158304,19
236,"1",44,0,9.08311249893328,73
237,"1",0,0,0,1
238,"0",1,1,0,7
239,"1",9,0,6.05837525239061,9
240,"0",34,0,0,4
241,"0",4,0,0,1
242,"0",25,1,0,2
243,"1",23,0,0,1
244,"1",0,0,9.78057105065971,39
245,"1",10,1,7.49764528586437,16
246,"0",1,0,8.1979571543762,14
247,"1",0,0,5.61042372291034,18
248,"1",0,0,7.15902748414944,66
249,"1",13,0,0,1
250,"1",4,0,6.87619236985929,106
251,"0",0,0,5.81215843927448,5
252,"0",14,1,4.09883446749495,2
253,"1",13,0,0,1
254,"1",0,0,0,1
255,"1",0,0,0,3
256,"1",107,1,6.54455911805314,2
257,"1",68,0,8.64720514808519,28
258,"0",3,0,10.144814774284,84
259,"1",1,1,7.19785442794952,11
260,"0",0,0,6.494479748782,6
261,"1",1,1,0,2
262,"1",72,1,5.50590047974419,30
263,"0",0,0,0,7
264,"0",0,0,6.1494293723972,19
265,"0",16,0,0,5
266,"0",24,2,8.27388264643248,31
267,"0",26,0,0,1
268,"1",110,0,6.39997501340211,15
269,"1",1,0,0,1
270,"0",4,0,0,1
271,"1",46,1,5.5370192567781,40
272,"1",19,1,3.60766939868839,68
273,"1",0,0,7.28665735969758,39
274,"0",17,0,0,2
275,"0",20,0,0,1
276,"0",12,2,3.71357206670431,3
277,"1",23,0,0,1
278,"0",0,0,6.14061704251042,3
279,"0",15,0,0,2
280,"0",1,1,0,63
