"observation","public.feedback","private.feedback","public.feedback.bins"
1,5,"Definitely Yes","(4.75,5]"
2,5,"Definitely Yes","(4.75,5]"
3,4.5,"Probably Not","(4.25,4.5]"
4,5,"Definitely Yes","(4.75,5]"
5,5,"Definitely Yes","(4.75,5]"
6,5,"Definitely Yes","(4.75,5]"
7,3.55,"Definitely Yes","(3.5,3.75]"
8,5,"Definitely Not","(4.75,5]"
9,5,"Definitely Yes","(4.75,5]"
10,5,"Probably Yes","(4.75,5]"
11,5,"Definitely Yes","(4.75,5]"
12,5,"Definitely Yes","(4.75,5]"
13,5,"Definitely Yes","(4.75,5]"
14,5,"Definitely Yes","(4.75,5]"
15,5,"Probably Yes","(4.75,5]"
16,5,"Definitely Yes","(4.75,5]"
17,5,"Definitely Yes","(4.75,5]"
18,5,"Definitely Yes","(4.75,5]"
19,5,"Definitely Yes","(4.75,5]"
20,5,"Definitely Yes","(4.75,5]"
21,5,"Definitely Yes","(4.75,5]"
22,5,"Definitely Yes","(4.75,5]"
23,5,"Definitely Yes","(4.75,5]"
24,5,"Definitely Yes","(4.75,5]"
25,1,"Definitely Not","[1,1.25]"
26,4.7,"Definitely Yes","(4.5,4.75]"
27,5,"Definitely Yes","(4.75,5]"
28,5,"Definitely Yes","(4.75,5]"
29,5,"Definitely Yes","(4.75,5]"
30,5,"Definitely Yes","(4.75,5]"
31,5,"Definitely Yes","(4.75,5]"
32,5,"Definitely Yes","(4.75,5]"
33,5,"Definitely Yes","(4.75,5]"
34,5,"Definitely Yes","(4.75,5]"
35,5,"Probably Yes","(4.75,5]"
36,5,"Definitely Yes","(4.75,5]"
37,5,"Definitely Yes","(4.75,5]"
38,4.5,"Definitely Yes","(4.25,4.5]"
39,5,"Definitely Yes","(4.75,5]"
40,5,"Definitely Yes","(4.75,5]"
41,5,"Definitely Yes","(4.75,5]"
42,3.75,"Definitely Yes","(3.5,3.75]"
43,5,"Definitely Yes","(4.75,5]"
44,5,"Definitely Yes","(4.75,5]"
45,5,"Definitely Yes","(4.75,5]"
46,5,"Definitely Yes","(4.75,5]"
47,3.6,"Probably Yes","(3.5,3.75]"
48,5,"Definitely Yes","(4.75,5]"
49,5,"Definitely Yes","(4.75,5]"
50,5,"Definitely Yes","(4.75,5]"
51,2.7,"Probably Not","(2.5,2.75]"
52,5,"Definitely Yes","(4.75,5]"
53,5,"Definitely Yes","(4.75,5]"
54,5,"Definitely Yes","(4.75,5]"
55,5,"Probably Yes","(4.75,5]"
56,5,"Probably Yes","(4.75,5]"
57,5,"Definitely Yes","(4.75,5]"
58,5,"Definitely Yes","(4.75,5]"
59,5,"Definitely Yes","(4.75,5]"
60,5,"Probably Yes","(4.75,5]"
61,4.6,"Probably Yes","(4.5,4.75]"
62,5,"Definitely Yes","(4.75,5]"
63,5,"Definitely Yes","(4.75,5]"
64,4.85,"Definitely Yes","(4.75,5]"
65,5,"Definitely Yes","(4.75,5]"
66,5,"Definitely Yes","(4.75,5]"
67,5,"Definitely Yes","(4.75,5]"
68,4.8,"Definitely Yes","(4.75,5]"
69,5,"Definitely Yes","(4.75,5]"
70,5,"Definitely Yes","(4.75,5]"
71,5,"Probably Yes","(4.75,5]"
72,5,"Definitely Yes","(4.75,5]"
73,5,"Definitely Yes","(4.75,5]"
74,4.35,"Definitely Yes","(4.25,4.5]"
75,4.7,"Definitely Yes","(4.5,4.75]"
76,5,"Definitely Yes","(4.75,5]"
77,5,"Definitely Yes","(4.75,5]"
78,5,"Definitely Yes","(4.75,5]"
79,5,"Definitely Yes","(4.75,5]"
80,5,"Definitely Yes","(4.75,5]"
81,1,"Definitely Not","[1,1.25]"
82,5,"Definitely Yes","(4.75,5]"
83,5,"Definitely Yes","(4.75,5]"
84,5,"Definitely Yes","(4.75,5]"
85,5,"Definitely Yes","(4.75,5]"
86,5,"Definitely Yes","(4.75,5]"
87,5,"Probably Yes","(4.75,5]"
88,5,"Definitely Yes","(4.75,5]"
89,5,"Definitely Yes","(4.75,5]"
90,5,"Definitely Yes","(4.75,5]"
91,5,"Probably Yes","(4.75,5]"
92,5,"Definitely Yes","(4.75,5]"
93,4.65,"Probably Yes","(4.5,4.75]"
94,5,"Definitely Yes","(4.75,5]"
95,5,"Definitely Yes","(4.75,5]"
96,5,"Definitely Yes","(4.75,5]"
97,5,"Definitely Yes","(4.75,5]"
98,4.45,"Probably Yes","(4.25,4.5]"
99,5,"Definitely Yes","(4.75,5]"
100,5,"Definitely Yes","(4.75,5]"
101,5,"Definitely Yes","(4.75,5]"
102,5,"Definitely Yes","(4.75,5]"
103,5,"Definitely Yes","(4.75,5]"
104,5,"Probably Yes","(4.75,5]"
105,5,"Probably Yes","(4.75,5]"
106,5,"Definitely Yes","(4.75,5]"
107,5,"Definitely Yes","(4.75,5]"
108,5,"Definitely Yes","(4.75,5]"
109,5,"Definitely Yes","(4.75,5]"
110,4,"Probably Yes","(3.75,4]"
111,5,"Definitely Yes","(4.75,5]"
112,5,"Definitely Yes","(4.75,5]"
113,4.7,"Definitely Yes","(4.5,4.75]"
114,5,"Probably Yes","(4.75,5]"
115,5,"Definitely Yes","(4.75,5]"
116,5,"Definitely Yes","(4.75,5]"
117,5,"Definitely Yes","(4.75,5]"
118,4.6,"Probably Yes","(4.5,4.75]"
119,5,"Definitely Yes","(4.75,5]"
120,5,"Definitely Yes","(4.75,5]"
121,5,"Definitely Yes","(4.75,5]"
122,4.45,"Probably Yes","(4.25,4.5]"
123,5,"Definitely Yes","(4.75,5]"
124,5,"Probably Yes","(4.75,5]"
125,1.4,"Definitely Not","(1.25,1.5]"
126,5,"Definitely Yes","(4.75,5]"
127,5,"Definitely Yes","(4.75,5]"
128,5,"Definitely Yes","(4.75,5]"
129,5,"Definitely Yes","(4.75,5]"
130,5,"Definitely Yes","(4.75,5]"
131,5,"Definitely Yes","(4.75,5]"
132,5,"Definitely Yes","(4.75,5]"
133,4.85,"Probably Yes","(4.75,5]"
134,5,"Probably Yes","(4.75,5]"
135,5,"Definitely Yes","(4.75,5]"
136,5,"Definitely Yes","(4.75,5]"
137,5,"Definitely Yes","(4.75,5]"
138,5,"Definitely Yes","(4.75,5]"
139,5,"Definitely Yes","(4.75,5]"
140,5,"Probably Yes","(4.75,5]"
141,5,"Definitely Yes","(4.75,5]"
142,4.7,"Definitely Yes","(4.5,4.75]"
143,5,"Definitely Yes","(4.75,5]"
144,5,"Definitely Yes","(4.75,5]"
145,5,"Definitely Yes","(4.75,5]"
146,5,"Probably Yes","(4.75,5]"
147,5,"Definitely Yes","(4.75,5]"
148,5,"Probably Not","(4.75,5]"
149,5,"Definitely Yes","(4.75,5]"
150,4.15,"Definitely Yes","(4,4.25]"
151,4.85,"Definitely Yes","(4.75,5]"
152,5,"Definitely Yes","(4.75,5]"
153,5,"Definitely Yes","(4.75,5]"
154,5,"Definitely Yes","(4.75,5]"
155,5,"Definitely Yes","(4.75,5]"
156,5,"Definitely Yes","(4.75,5]"
157,5,"Definitely Yes","(4.75,5]"
158,5,"Definitely Yes","(4.75,5]"
159,5,"Definitely Yes","(4.75,5]"
160,3,"Probably Yes","(2.75,3]"
161,5,"Definitely Yes","(4.75,5]"
162,5,"Definitely Yes","(4.75,5]"
163,5,"Definitely Yes","(4.75,5]"
164,5,"Definitely Yes","(4.75,5]"
165,5,"Probably Yes","(4.75,5]"
166,5,"Definitely Yes","(4.75,5]"
167,5,"Definitely Yes","(4.75,5]"
168,4.65,"Probably Yes","(4.5,4.75]"
169,5,"Definitely Yes","(4.75,5]"
170,5,"Definitely Yes","(4.75,5]"
171,4.7,"Probably Not","(4.5,4.75]"
172,5,"Definitely Yes","(4.75,5]"
173,5,"Definitely Yes","(4.75,5]"
174,5,"Probably Yes","(4.75,5]"
175,5,"Definitely Yes","(4.75,5]"
176,1,"Definitely Not","[1,1.25]"
177,5,"Definitely Yes","(4.75,5]"
178,5,"Definitely Yes","(4.75,5]"
179,5,"Probably Yes","(4.75,5]"
180,5,"Definitely Yes","(4.75,5]"
181,5,"Definitely Yes","(4.75,5]"
182,5,"Definitely Yes","(4.75,5]"
183,5,"Definitely Yes","(4.75,5]"
184,5,"Probably Yes","(4.75,5]"
185,5,"Definitely Yes","(4.75,5]"
186,5,"Definitely Yes","(4.75,5]"
187,4.8,"Definitely Yes","(4.75,5]"
188,5,"Definitely Yes","(4.75,5]"
189,5,"Definitely Yes","(4.75,5]"
190,5,"Probably Yes","(4.75,5]"
191,5,"Definitely Yes","(4.75,5]"
192,4.55,"Definitely Yes","(4.5,4.75]"
193,5,"Definitely Yes","(4.75,5]"
194,5,"Definitely Yes","(4.75,5]"
195,4,"Probably Not","(3.75,4]"
196,5,"Definitely Yes","(4.75,5]"
197,3.65,"Definitely Yes","(3.5,3.75]"
198,5,"Definitely Yes","(4.75,5]"
199,5,"Definitely Yes","(4.75,5]"
200,5,"Probably Yes","(4.75,5]"
201,5,"Definitely Yes","(4.75,5]"
202,5,"Definitely Yes","(4.75,5]"
203,5,"Definitely Yes","(4.75,5]"
204,5,"Definitely Yes","(4.75,5]"
205,4.4,"Definitely Yes","(4.25,4.5]"
206,5,"Definitely Yes","(4.75,5]"
207,5,"Probably Yes","(4.75,5]"
208,5,"Definitely Yes","(4.75,5]"
209,5,"Definitely Yes","(4.75,5]"
210,5,"Probably Yes","(4.75,5]"
211,5,"Definitely Yes","(4.75,5]"
212,4.15,"Probably Not","(4,4.25]"
213,5,"Definitely Yes","(4.75,5]"
214,5,"Definitely Yes","(4.75,5]"
215,5,"Definitely Yes","(4.75,5]"
216,4,"Probably Yes","(3.75,4]"
217,5,"Definitely Yes","(4.75,5]"
218,5,"Definitely Yes","(4.75,5]"
