"user","city","gender","age","asset_year","user_status","earnings","first_trip_m","price_hourly"
1,"San Diego","MALE",NA,2003,"DELISTED",24.96,NA,8
2,"Oakland","MALE",NA,2015,"LIMITED",0,80,5.72
3,"Chicago","MALE",30,2012,"OFFBOARDING",995.132,41,9.5
4,"San Francisco","FEMALE",27,2013,"ACTIVE",235.474,79,11
5,"Los Angeles","MALE",26,2018,"ACTIVE",1495.042,80,12.55
6,"","MALE",NA,2011,"DELISTED",0,NA,13.5
7,"San Francisco","FEMALE",NA,2016,"ACTIVE",0,71,5
8,"San Francisco","FEMALE",45,2014,"ACTIVE",0,58,6.56
9,"San Francisco","FEMALE",27,2014,"DELISTED",124.282,75,5.82
10,"Silver Spring","MALE",NA,2011,"SCHEDULING",0,NA,4.39
11,"Cambridge","MALE",47,2012,"DELISTED",972.572,66,5.16
12,"","MALE",NA,1993,"DELISTED",0,NA,8
13,"Berkeley","MALE",41,2012,"ACTIVE",2750.818,60,6
14,"San Francisco","FEMALE",35,2011,"DELISTED",6.75,NA,15
15,"Washington","MALE",39,2014,"DELISTED",1086.104,57,3.62
16,"Chicago","MALE",32,2012,"ACTIVE",179.728,80,4.69
17,"","FEMALE",NA,2002,"DELISTED",0,NA,10
18,"Emeryville","MALE",NA,2008,"DELISTED",22.726,NA,7.5
19,"Portland","MALE",NA,2013,"ACTIVE",368.97,81,5.27
20,"Santa Monica","FEMALE",NA,2018,"LIMITED",0,81,5
21,"Chicago","FEMALE",34,2008,"ACTIVE",75.594,82,8
22,"Concord","MALE",NA,2008,"DELISTED",0.9,NA,7.5
23,"San Francisco","FEMALE",NA,2016,"ACTIVE",0,65,5
24,"","MALE",35,2010,"DELISTED",0,NA,11
25,"","FEMALE",NA,2005,"DELISTED",0,NA,11
26,"San Francisco","MALE",NA,2014,"DELISTED",0,NA,13
27,"Chicago","MALE",NA,2010,"ACTIVE",50.708,82,9
28,"San Francisco","FEMALE",NA,2016,"ONBOARDING",0,NA,7.5
29,"Chicago","MALE",47,2016,"DELISTED",111.12,55,12
30,"San Francisco","MALE",44,1995,"DELISTED",0,NA,25
31,"Washington","FEMALE",49,2013,"ACTIVE",1283.708,43,9.5
32,"","MALE",NA,2012,"DELISTED",0,NA,15
